X (cm),Y (cm)
-7.256779,0.037720986
-7.256779,0.037720986
-7.256779,0.037720986
-7.300417,0.036896832
-7.300417,0.036896832
-7.34405,0.036072757
-7.34405,0.036072757
-7.34405,0.036072757
-7.34405,0.036072757
-7.387679,0.035248768
-7.387679,0.035248768
-7.387679,0.035248768
-7.4313035,0.034424856
-7.4313035,0.034424856
-7.4313035,0.034424856
-7.4749236,0.03360103
-7.4749236,0.03360103
-7.4749236,0.03360103
-7.4749236,0.03360103
-7.5185394,0.032777287
-7.5182295,0.0768917
-7.5182295,0.0768917
-7.5182295,0.0768917
-7.5182295,0.0768917
-7.561519,0.12016625
-7.561519,0.12016625
-7.561519,0.12016625
-7.561519,0.12016625
-7.561203,0.16425452
-7.6047926,0.16342469
-7.6047926,0.16342469
-7.6044707,0.20749885
-7.6044707,0.20749885
-7.604149,0.251561
-7.604149,0.251561
-7.604149,0.251561
-7.6038275,0.2956111
-7.6473947,0.29477513
-7.647067,0.33881116
-7.647067,0.33881116
-7.64674,0.3828352
-7.64674,0.3828352
-7.6464124,0.42684725
-7.6464124,0.42684725
-7.6460853,0.4708473
-7.6460853,0.4708473
-7.645758,0.51483536
-7.6454315,0.5588115
-7.6454315,0.5588115
-7.6451044,0.6027756
-7.6451044,0.6027756
-7.644778,0.6467277
-7.6444507,0.69066787
-7.6444507,0.69066787
-7.644124,0.7345961
-7.643798,0.7785123
-7.643798,0.7785123
-7.6434712,0.8224166
-7.643145,0.866309
-7.643145,0.866309
-7.6428185,0.9101894
-7.6424923,0.9540578
-7.642166,0.9979144
-7.642166,0.9979144
-7.6418405,1.041759
-7.6415143,1.0855917
-7.6415143,1.0855917
-7.6411886,1.1294124
-7.640863,1.1732212
-7.640863,1.1732212
-7.6405373,1.2170181
-7.6402116,1.2608032
-7.6402116,1.2608032
-7.639886,1.3045764
-7.6395607,1.3483375
-7.6395607,1.3483375
-7.6392355,1.392087
-7.6389103,1.4358244
-7.6389103,1.4358244
-7.638585,1.47955
-7.63826,1.5232637
-7.63826,1.5232637
-7.681327,1.5660698
-7.680996,1.6097578
-7.680996,1.6097578
-7.6806655,1.6534338
-7.6806655,1.6534338
-7.723705,1.6961963
-7.723705,1.6961963
-7.7233686,1.7398466
-7.7230325,1.783485
-7.766386,1.7825794
-7.766044,1.826204
-7.766044,1.826204
-7.809388,1.8252963
-7.80904,1.868907
-7.80904,1.868907
-7.8520203,1.9115943
-7.8520203,1.9115943
-7.8949842,1.9542657
-7.8949842,1.9542657
-7.8949842,1.9542657
-7.9379325,1.9969213
-7.9379325,1.9969213
-7.980865,2.0395613
-7.980865,2.0395613
-8.024158,2.0386438
-8.023782,2.0821853
-8.067064,2.081266
-8.067064,2.081266
-8.109955,2.1238723
-8.109955,2.1238723
-8.153223,2.122951
-8.196088,2.1655397
-8.196088,2.1655397
-8.239342,2.1646168
-8.238936,2.2081127
-8.28218,2.2071877
-8.32542,2.2062628
-8.32542,2.2062628
-8.368233,2.2488163
-8.368233,2.2488163
-8.411458,2.2478895
-8.454679,2.2469628
-8.454245,2.290425
-8.497456,2.2894967
-8.540662,2.2885683
-8.540216,2.3320146
-8.583413,2.3310843
-8.626605,2.330154
-8.626605,2.330154
-8.66933,2.3726525
-8.712507,2.3717203
-8.712507,2.3717203
-8.755681,2.3707883
-8.79837,2.4132671
-8.79837,2.4132671
-8.84153,2.4123333
-8.884685,2.4113994
-8.884192,2.4547946
-8.927338,2.4538589
-8.970478,2.4529233
-8.970478,2.4529233
-9.013105,2.4953651
-9.0562315,2.4944277
-9.0562315,2.4944277
-9.099354,2.4934902
-9.141945,2.5359125
-9.141945,2.5359125
-9.185053,2.5349734
-9.184521,2.5783193
-9.227618,2.577378
-9.270712,2.576437
-9.270712,2.576437
-9.3132515,2.6188242
-9.356331,2.6178813
-9.356331,2.6178813
-9.398845,2.6602511
-9.398845,2.6602511
-9.44191,2.6593063
-9.484399,2.7016585
