Timestamp,Error (cm),Red_X (cm),Red_Y (cm),Nearest_X (cm),Nearest_Y (cm)
1744896906.537,0.032,2.963,7.074,2.956,7.105
1744896907.000,0.035,2.966,7.068,3.001,7.064
1744896907.473,0.035,2.966,7.068,3.001,7.064
1744896907.980,0.035,2.966,7.068,3.001,7.064
1744896908.302,0.013,3.007,7.075,3.001,7.064
1744896908.593,0.033,2.968,7.063,3.001,7.064
1744896908.964,0.008,3.007,7.069,3.001,7.064
1744896909.241,0.035,2.966,7.068,3.001,7.064
1744896909.525,0.013,3.007,7.075,3.001,7.064
1744896909.831,0.032,2.971,7.076,2.956,7.105
1744896910.125,0.035,2.966,7.068,3.001,7.064
1744896910.416,0.032,2.963,7.074,2.956,7.105
1744896910.698,0.016,3.011,7.076,3.001,7.064
1744896910.997,0.035,2.966,7.068,3.001,7.064
1744896911.282,0.032,2.967,7.075,2.956,7.105
1744896911.573,0.032,2.963,7.074,2.956,7.105
1744896911.883,0.032,2.960,7.074,2.956,7.105
1744896912.169,0.016,3.011,7.076,3.001,7.064
1744896912.462,0.037,2.960,7.068,2.956,7.105
1744896912.753,0.032,2.963,7.074,2.956,7.105
1744896913.043,0.006,3.004,7.069,3.001,7.064
1744896913.328,0.032,2.963,7.074,2.956,7.105
1744896913.617,0.037,2.964,7.062,3.001,7.064
1744896913.920,0.032,2.963,7.074,2.956,7.105
1744896914.216,0.015,3.014,7.070,3.001,7.064
1744896914.515,0.035,2.966,7.068,3.001,7.064
1744896914.807,0.032,2.963,7.074,2.956,7.105
1744896915.110,3.123,12.218,5.815,9.156,5.199
1744896915.403,1.101,10.172,5.674,9.101,5.415
1744896915.697,2.315,11.203,6.396,9.051,5.543
1744896915.991,4.057,12.118,8.318,8.903,5.843
1744896916.288,0.035,2.966,7.068,3.001,7.064
1744896916.607,0.033,2.970,7.075,2.956,7.105
1744896916.913,0.011,3.010,7.069,3.001,7.064
1744896917.197,0.006,3.004,7.069,3.001,7.064
1744896917.488,0.035,2.966,7.068,3.001,7.064
1744896917.792,0.037,2.960,7.068,2.956,7.105
1744896918.098,0.037,2.964,7.062,3.001,7.064
1744896918.428,0.015,3.014,7.070,3.001,7.064
1744896918.734,0.006,3.007,7.063,3.001,7.064
1744896919.053,0.032,2.967,7.075,2.956,7.105
1744896919.357,0.013,3.007,7.075,3.001,7.064
1744896919.656,0.013,3.007,7.075,3.001,7.064
