X (cm),Y (cm)
2.9710896,7.11008
2.9399872,7.1375074
2.9088914,7.164929
2.9088914,7.164929
2.8778028,7.192344
2.846721,7.2197533
2.8171442,7.2183533
2.7860727,7.2457566
2.7565,7.2443566
2.726928,7.2429566
2.6958704,7.2703533
2.6663022,7.2689533
2.635255,7.2963443
2.605691,7.2949443
2.5761273,7.2935443
2.5465639,7.2921443
2.5155344,7.3195286
2.485975,7.3181286
2.4564164,7.3167286
2.426858,7.3153286
2.395846,7.342707
2.3367376,7.339907
2.3071842,7.338507
2.2776315,7.337107
2.248079,7.335707
2.218527,7.334307
2.1889756,7.3329077
2.1594245,7.3315077
2.1298742,7.3301077
2.0707746,7.327308
2.039808,7.3546796
2.0102625,7.3532796
1.9807174,7.35188
1.9511727,7.35048
1.9216286,7.3490806
1.8639411,7.31751
1.8343953,7.3161106
1.80485,7.314711
1.7753053,7.3133116
1.7457609,7.311912
1.6866736,7.309113
1.6571307,7.3077135
1.6275884,7.306314
1.5980464,7.3049145
1.5685049,7.3035154
1.5094234,7.3007164
1.4798833,7.2993174
1.4503437,7.297918
1.4208047,7.296519
1.3912661,7.2951193
1.3321903,7.2923207
1.3039947,7.262147
1.274455,7.260748
1.2449156,7.2593484
1.2153769,7.2579494
1.1858385,7.2565503
1.1267632,7.2537527
1.0972263,7.2523537
1.0676899,7.2509546
1.0381539,7.2495556
1.0086184,7.248157
0.97908336,7.246758
0.94954884,7.2453594
0.8904812,7.2425613
0.860948,7.241163
0.8314154,7.239764
0.8018832,7.238365
0.77235156,7.2369666
0.7428203,7.235568
0.68375933,7.2327704
0.6542295,7.231372
0.6247002,7.2299733
0.59517133,7.2285748
0.56564295,7.227176
0.5361151,7.2257776
0.5065877,7.224379
0.4770607,7.222981
0.41800824,7.220184
0.38848272,7.2187853
0.35895768,7.217387
0.3294331,7.2159886
0.299909,7.2145905
0.27038538,7.213192
0.24086224,7.211794
0.18181735,7.2089972
0.15229563,7.207599
0.122774385,7.2062006
0.093253605,7.2048025
0.0637333,7.2034044
0.034213476,7.2020063
-0.024824753,7.19921
-0.054343157,7.197812
-0.08386108,7.196414
-0.11337854,7.195016
-0.14408813,7.2223883
-0.1736016,7.22099
-0.23262711,7.2181945
-0.26213914,7.2167964
-0.2916507,7.2153983
-0.3211618,7.214
-0.35067242,7.2126026
-0.40969226,7.2098064
-0.43920144,7.208409
-0.46871018,7.2070107
-0.49821842,7.205613
-0.52887905,7.232979
-0.5878871,7.230183
-0.61739045,7.2287855
-0.64689326,7.2273874
-0.67639565,7.22599
-0.7058975,7.2245917
-0.7648999,7.2217965
-0.7944004,7.220399
-0.82390034,7.2190013
-0.8545191,7.2463603
-0.88401514,7.2449627
-0.94300574,7.242167
-0.9725003,7.2407694
-1.0019945,7.239372
-1.0314881,7.237974
-1.0609813,7.2365766
-1.1199661,7.233782
-1.1494579,7.232384
-1.1789492,7.2309866
-1.2095226,7.258339
-1.2684968,7.2555437
-1.297983,7.2541466
-1.3274689,7.252749
-1.3569543,7.2513514
-1.3864392,7.249954
-1.4454076,7.2471595
-1.4748912,7.245762
-1.5043741,7.2443647
-1.5338567,7.242967
-1.5633389,7.24157
-1.6223016,7.2387757
-1.6517823,7.237378
-1.6812625,7.235981
-1.7117729,7.263326
-1.7412492,7.261929
-1.8002002,7.259135
-1.829675,7.2577376
-1.8591493,7.2563405
-1.8886231,7.2549434
-1.9180965,7.253546
-1.9770418,7.250752
-2.0065138,7.249355
-2.0359852,7.247958
-2.0654562,7.246561
-2.0949268,7.245164
-2.1243968,7.2437673
-2.1833355,7.2409735
-2.212804,7.2395763
-2.2422724,7.2381797
-2.27174,7.2367826
-2.3012073,7.235386
-2.329707,7.2052484
-2.3591762,7.2038517
-2.4181132,7.2010584
-2.4475813,7.199662
-2.4770486,7.1982656
-2.5065155,7.196869
-2.535982,7.1954722
-2.565448,7.1940756
-2.5949135,7.1926794
-2.6243784,7.1912827
-2.652909,7.161141
-2.7118428,7.158348
-2.741309,7.156952
-2.7707748,7.1555557
-2.80024,7.1541595
-2.8297048,7.1527634
-2.858256,7.1226163
-2.887723,7.12122
-2.9171891,7.119824
-2.946655,7.1184278
-2.9752195,7.0882754
-3.0046875,7.0868797
-3.034155,7.085484
-3.063622,7.084088
-3.0921993,7.0539303
-3.1216686,7.0525346
-3.151137,7.051139
-3.1797252,7.0209756
-3.2091959,7.01958
-3.2377918,6.9894114
-3.2672644,6.9880157
-3.266393,6.9592366
-3.2958684,6.9578414
-3.3244777,6.9276614
-3.353955,6.926266
-3.3825722,6.8960805
-3.3817124,6.867284
-3.4111948,6.865889
-3.410338,6.8370867
-3.4389687,6.806884
-3.467605,6.776675
-3.4667535,6.7478557
-3.4659019,6.71903
-3.4945493,6.6888037
-3.4937003,6.6599665
-3.492851,6.631123
-3.5215096,6.6008797
-3.5206633,6.5720243
-3.5189698,6.514296
-3.5476425,6.48403
-3.5467982,6.4551506
-3.545954,6.426266
-3.5451095,6.3973756
-3.5434198,6.3395762
-3.5721123,6.3092747
-3.5712702,6.28036
-3.570428,6.25144
-3.5687428,6.1935816
-3.597452,6.1632504
-3.596612,6.134307
-3.6253297,6.1039643
-3.6244924,6.0750084
-3.623655,6.0460467
-3.6523838,6.0156865
-3.651549,5.986713
