Timestamp,Error (cm),Red_X (cm),Red_Y (cm),Nearest_X (cm),Nearest_Y (cm)
1744551296.723,0.030,-8.035,7.718,2.614,7.365
1744551298.174,0.023,-7.451,6.826,2.614,7.365
1744551298.241,0.049,-6.839,5.966,2.614,7.365
1744551298.313,0.064,-6.346,5.087,2.614,7.365
1744551298.391,0.057,-5.934,4.211,2.614,7.365
1744551298.446,0.028,-5.359,3.390,2.614,7.365
1744551298.499,0.051,-4.658,2.561,2.614,7.365
1744551298.588,0.025,-3.962,1.758,2.614,7.365
1744551298.649,0.051,-3.374,1.042,2.614,7.365
1744551298.711,0.049,-2.933,0.301,2.614,7.365
1744551298.763,0.039,-2.548,-0.357,2.614,7.365
1744551298.824,0.048,-2.207,-1.044,2.614,7.365
1744551298.890,0.049,-1.871,-1.730,2.614,7.365
1744551298.944,0.050,-1.548,-2.402,2.614,7.365
1744551299.009,0.050,-1.378,-2.743,2.614,7.365
1744551299.066,0.046,-0.835,-3.720,2.614,7.365
1744551299.127,0.046,-0.486,-4.367,2.614,7.365
1744551299.190,0.049,-0.301,-4.616,2.614,7.365
1744551299.249,0.048,0.183,-5.379,2.614,7.365
1744551299.303,0.046,0.509,-5.835,2.614,7.365
1744551299.362,0.046,0.632,-6.084,2.614,7.365
1744551299.415,0.050,-2.559,-3.740,2.614,7.365
1744551299.469,0.050,0.909,-6.840,2.614,7.365
1744551299.532,0.049,1.054,-7.121,2.614,7.365
1744551299.590,0.038,1.215,-7.447,2.614,7.365
1744551299.644,0.047,1.324,-7.824,2.614,7.365
1744551299.712,0.044,1.476,-8.097,2.614,7.365
1744551299.769,0.053,1.718,-8.418,2.614,7.365
1744551299.820,0.049,1.982,-8.813,2.614,7.365
1744551299.886,0.041,2.089,-8.960,2.614,7.365
1744551299.944,0.042,2.163,-9.083,2.614,7.365
1744551300.001,0.025,2.035,-9.088,2.614,7.365
1744551300.069,0.049,1.722,-8.873,2.614,7.365
1744551300.129,0.046,1.360,-8.431,2.614,7.365
1744551300.179,0.048,0.946,-7.798,2.614,7.365
1744551300.245,0.038,0.571,-7.085,2.614,7.365
1744551300.301,0.052,0.114,-6.295,2.614,7.365
1744551300.354,0.019,-3.330,-3.118,2.614,7.365
1744551300.418,0.045,-3.496,-2.642,2.614,7.365
1744551300.478,0.037,-3.714,-1.758,2.614,7.365
1744551300.528,0.042,-4.093,-0.824,2.560,7.364
1744551300.592,0.052,-4.497,0.049,2.614,7.365
1744551300.652,0.051,-1.687,-1.655,2.614,7.365
1744551300.706,0.076,-2.156,-0.768,2.614,7.365
1744551300.777,0.065,-2.553,0.102,2.614,7.365
1744551300.832,0.082,-2.678,0.873,2.614,7.365
1744551300.883,0.046,-3.030,1.996,2.614,7.365
1744551300.950,0.047,-3.198,2.368,2.614,7.365
1744551301.006,0.073,-3.546,3.124,2.614,7.365
1744551301.055,0.012,-3.918,3.879,2.614,7.365
1744551301.117,0.052,-4.373,4.610,2.614,7.365
1744551301.183,0.048,-4.723,5.375,2.614,7.365
1744551301.236,0.079,-5.057,6.083,2.614,7.365
1744551301.302,0.067,-5.399,6.746,2.534,7.336
1744551301.362,0.052,-5.800,7.390,2.614,7.365
1744551301.417,0.055,-6.096,7.952,2.614,7.365
1744551301.479,0.046,-6.314,8.546,2.614,7.365
1744551301.540,0.045,-6.488,8.997,2.614,7.365
1744551301.599,0.054,-6.552,9.256,2.614,7.365
1744551301.662,0.045,-6.552,9.256,2.614,7.365
1744551301.725,0.058,-6.552,9.256,2.614,7.365
1744551301.774,0.080,-6.552,9.256,2.614,7.365
1744551301.838,0.080,-6.552,9.256,2.614,7.365
1744551301.892,0.087,-6.552,9.256,2.614,7.365
1744551301.942,0.111,-6.552,9.256,2.614,7.365
1744551302.006,0.125,-6.552,9.256,2.614,7.365
1744551302.060,0.103,-6.552,9.256,2.614,7.365
1744551302.112,0.093,-6.552,9.256,2.614,7.365
1744551302.179,0.076,-6.552,9.256,2.614,7.365
